idx,direction,label,fvg_present,fvg_size_atr,fvg_distance,fvg_mitigated,ob_present,ob_size_atr,ob_distance,ob_vol_ratio,bos_count,choch_count,swing_count,trend_align,nearby_liq_count,body_ratio,vol_ratio,upper_wick_atr,lower_wick_atr,candle_align,dist_to_high_atr,dist_to_low_atr,atr_val
7181,1,1,1,0.08429926238145437,0.0,1,1,1.9764858758207067,0.24,2.6967952099407695,31,9,6,0,26,0.6641870350455409,0.3278217585849157,0.15352192591391312,0.00016211396612761774,1,2.8183513009645846,2.507578827916036,616.8499999999985
7343,1,1,1,0.02679465693517924,0.0,1,1,1.6926383489850374,6.72,2.6967952099407695,31,9,6,0,26,0.19941241277271798,0.260964287662653,0.19353239257840762,0.10912228161163402,1,4.844418440911927,0.934342182247301,720.2928571428565
7387,1,1,1,0.11332927571518076,0.0,1,1,2.5971902579123727,8.48,2.6967952099407695,31,9,6,0,26,0.9486785064893241,0.9621645787068572,0.04558734023127214,0.032592818015831124,1,3.2788800973828516,2.606147291539871,469.4285714285683
7388,1,1,1,0.530217058452681,0.0,1,1,2.562180548050098,8.52,2.6967952099407695,31,9,6,0,26,0.5789689874598641,0.74602126858992,0.03803776757033889,0.39277672701070887,1,2.0199945960551617,3.1634393106968104,475.8428571428532
7393,1,1,1,0.1924683936706481,0.0,1,1,2.300554542820185,8.72,2.6967952099407695,31,9,6,1,26,0.5423982869262932,0.9345569337294322,0.10925411758362162,0.29398603660674055,1,1.7944847292233956,2.8596652020379136,529.9571428571404
7395,1,1,1,0.18847255401428104,0.08,1,1,2.252792690089358,8.8,2.6967952099407695,31,10,6,1,26,0.49427517949748284,0.8469556098302589,0.3817493103857996,0.09977958741932526,0,1.624374727783878,2.933150316100673,541.1928571428559
7430,1,1,1,0.547551395620926,0.0,1,1,1.8965401972254723,0.68,2.249827856484007,31,10,6,1,26,0.7383526383478833,4.738152203856117,0.8248370382751129,0.1265920106969884,1,-1.0581313722212868,7.341634631455792,427.35714285714283
10185,1,0,1,0.05623059050861674,0.0,1,1,0.522049182213429,110.88,2.249827856484007,40,15,6,0,26,0.7356869184415077,1.0461197316028228,0.2551310068781521,0.055908536725634984,1,5.787821766234956,1.3524326562535907,1552.5357142857163
10189,1,0,1,0.1569766625970033,0.0,1,1,0.5307867544216635,111.04,2.249827856484007,40,15,6,0,26,0.6242249585134548,1.108679163862901,0.16549020708495102,0.11630811546612031,1,5.0861224547074695,2.1363102672411,1526.9785714285722
10190,1,0,1,0.14390110856148475,0.0,1,1,0.5115431951275587,111.08,2.249827856484007,40,15,6,0,26,0.4059338255372863,1.3053496885356304,0.28022847456710187,0.2682367155203115,1,4.156091227532356,2.4335697122428654,1584.4214285714293
10442,1,0,1,0.09237306373256436,0.0,1,1,0.5195584188427508,121.16,2.249827856484007,40,15,6,0,26,0.3162510276744655,0.5920512345068791,0.19634885094575705,0.12352733782973982,1,4.587050188418356,1.7659857965081938,1559.978571428568
15528,-1,1,1,0.23430962343095885,0.0,1,1,1.6942039342962525,0.28,2.2179468076120954,40,22,6,0,26,0.915009041572929,0.4293258577689513,0.056571330314671264,0.0,1,3.294510995204522,3.030511453736082,747.7285714285701
15529,-1,1,1,0.37965470387578487,0.0,1,1,1.685172944993968,0.32,2.2179468076120954,40,22,6,0,26,0.535158447392914,0.8168267687794653,0.03192611385080246,0.2978440371331229,1,3.4605246904782225,2.634702545537481,751.7357142857135
15541,-1,1,1,0.1603522907470236,0.0,1,1,1.9002341774525329,0.8,2.2179468076120954,40,22,6,1,26,0.8336372255792129,2.7546266015239476,0.14820211717310666,0.19395277075387204,1,4.111558736553374,2.761539450563576,666.6571428571436
15566,-1,1,1,1.1616401605147546,0.0,1,1,2.0161271414280395,1.8,2.2179468076120954,40,22,6,1,26,0.7366668760554365,2.8820094782829755,0.6221196585082962,0.045039617129132264,1,5.94300135278005,1.374424500096616,628.335714285713
15567,-1,1,1,1.3337821692048188,0.0,1,1,1.681737338561325,1.84,2.2179468076120954,40,22,6,1,26,0.6812392905076579,7.2619748595139235,0.1956797966963076,0.7180678563978201,1,6.910258112234266,-0.8064822014451261,753.2714285714277
15568,-1,1,1,0.05661401508982973,0.0,1,1,1.604449657583819,1.88,2.2179468076120954,40,22,6,1,26,0.6503909366471174,2.740505411184261,0.5549946624690121,0.0,1,7.6252872315403,-0.3475365937505584,789.557142857142
